date,prcp_era,prcp_mswep,prcp_gsmap,prcp_chirps,t_mean,t_min,t_max,dew_mean,wind_speed,vp1,vp2,srad
2005-08-04,1.6389918199224,0.602418207681366,,0.0033277049181713,18.11049033766659,12.019306504629869,22.893899455372832,10.011516811658057,1.6018805799221072,1241.237614149543,1228.910615579523,335.74330704601164
2005-08-05,1.3606310670314,1.06561166429587,,1.7580921057141308,18.494792893135298,12.634778712339312,23.22390253477392,10.51442133605417,1.8331563605958872,1283.6545708676622,1270.9394890575466,336.4089105989153
2005-08-06,7.6045392654508,8.6725640113798,,1.665861508082488,17.068062023324217,13.474618440192046,21.25198907688008,11.966901141569965,1.3814105275599151,1413.414422020529,1399.5056796871006,262.9684849979904
2005-08-07,9.8671902491227,10.7191500711238,,0.1634358117745373,15.822222987053976,12.467220306650802,19.55176720768032,12.479611076624336,0.4672658207861571,1461.8983819799685,1447.5413257411071,214.6108259520089
2005-08-08,7.5108484713918,6.25,,0.3592410798789502,15.340204593752674,11.70680201597304,18.892667006132967,12.393256824810862,0.2845105981901476,1453.631375557793,1439.3508447975464,239.82699266848888
2005-08-09,7.2813834959032,3.64064722617354,,3.862510356837304,16.31963069717625,11.979979636151995,20.28557153930808,12.197110669423807,1.8692745079893929,1435.0061618965506,1420.8979151479964,284.35978471273546
2005-08-10,6.3070128207456,3.30796586059744,,0.1434701728772622,14.37309585441949,9.667368498762867,18.48640275993569,9.980070648128333,1.419080399509573,1238.6268190834269,1226.3236713204524,252.0086027861912
2005-08-11,9.1095190401323,6.42327524893314,,3.3624322390092343,12.978359846529088,9.129643477893753,16.25276026621441,9.45208328281285,0.8878192994607468,1195.507643946241,1183.5977884227125,158.61671505454026
2005-08-12,1.1803588940928,0.640647226173542,,0.0,9.946157434852012,4.334673058826638,14.279956603227788,2.8176412905480674,3.145712780868844,755.9919618895431,748.0149837270405,321.5125280681428
2005-08-13,0.4908480712616167,0.281650071123755,,0.0,9.010306250466954,4.376859011168449,12.648060818496049,0.7777250134204792,2.1553182100971244,653.3291509192304,646.2492266302829,358.9527155785197
2005-08-14,0.0323411320979285,0.0071123755334281,,0.0,10.607146535676804,4.631829849068822,15.698376855338608,1.7770686465302674,1.2358735352469186,701.9663856655005,694.4624677944382,361.9457763756404
2005-08-15,0.002718250857159,0.0,,0.0,13.191180847830424,5.014871217345956,18.989225359226964,3.375090672624083,0.5384487638869258,786.4216170210044,778.1771808491551,400.61049482698354
2005-08-16,0.0176613098847608,0.0030227596017069,,0.0,16.130976427775863,7.3592759265116,22.64107566985172,3.9444374894612224,1.1394271594075207,818.6143317927434,810.0861363854806,407.3772666881337
2005-08-17,0.5295157552926109,0.0813477951635846,,0.7877687606342214,18.37483431578721,9.426799429859898,23.966706077917195,4.39330758454895,0.3301792574252751,844.8108836500264,836.0511679639853,339.02318271366727
